	enfant	age	type	seconde_debut	seconde_fin	contenu
0	LEONARD	1_08_09	+div+	0.0	1967.815	Situation
1	LEONARD	1_08_09	+div+	0.0	787.467	BG
2	LEONARD	1_08_09	CHI	0.0	2.456	oh !
3	LEONARD	1_08_09	mod			ɔ
4	LEONARD	1_08_09	pho			oː
5	LEONARD	1_08_09	MOT	2.456	12.286	oh il est bon ce bain .
6	LEONARD	1_08_09	sit			CHI se lève et montre la caméra du doigt.
7	LEONARD	1_08_09	MOT	12.286	14.995	il a une bonne température .
8	LEONARD	1_08_09	CHI	14.995	15.339	coco .
9	LEONARD	1_08_09	mod			kɔko
10	LEONARD	1_08_09	pho			kɔkɔ
11	LEONARD	1_08_09	int			coco/2/=caméra
12	LEONARD	1_08_09	CHI	15.339	15.855	caméra .
13	LEONARD	1_08_09	mod			kameʀa
14	LEONARD	1_08_09	pho			kɔkɔ
15	LEONARD	1_08_09	MOT	15.855	16.691	ouais .
16	LEONARD	1_08_09	CHI	16.691	19.703	e@fs coco xx [= cri] # e@fs coco .
17	LEONARD	1_08_09	mod			… kɔko … … kɔko
18	LEONARD	1_08_09	pho			e kɔkɔ XX e kɔkɔ
19	LEONARD	1_08_09	int			coco/1/=caméra coco/1/=caméra
20	LEONARD	1_08_09	MOT	19.703	20.831	il est coco ?
21	LEONARD	1_08_09	CHI	20.831	21.683000000000003	oh !
22	LEONARD	1_08_09	mod			ɔ
23	LEONARD	1_08_09	sit			il se touche les fesses.
24	LEONARD	1_08_09	pho			oː
25	LEONARD	1_08_09	CHI	21.683000000000003	26.418000000000003	yy xx .
26	LEONARD	1_08_09	mod			… …
27	LEONARD	1_08_09	pho			jedede XX
28	LEONARD	1_08_09	MOT	26.418000000000003	28.558000000000003	qu' est+ce que tu dis ?
29	LEONARD	1_08_09	CHI	28.558000000000003	30.118000000000002	dédé@c .
30	LEONARD	1_08_09	mod			dede
31	LEONARD	1_08_09	pho			dede
32	LEONARD	1_08_09	MOT	30.118000000000002	31.383000000000003	yéh yéh !
33	LEONARD	1_08_09	CHI	31.383000000000003	33.221	xx xx .
34	LEONARD	1_08_09	mod			… …
35	LEONARD	1_08_09	sit			il se baisse pour éclabousser. il pointe la caméra.
36	LEONARD	1_08_09	pho			o kole
37	LEONARD	1_08_09	CHI	33.221	40.973	e@fs coco .
38	LEONARD	1_08_09	mod			… kɔko
39	LEONARD	1_08_09	pho			e koko
40	LEONARD	1_08_09	int			coco/1/=caméra
41	LEONARD	1_08_09	CHI	40.973	43.986000000000004	ɛ̃@fs papa .
42	LEONARD	1_08_09	mod			… papa
43	LEONARD	1_08_09	pho			ɛ̃ papa
44	LEONARD	1_08_09	MOT	44.325	46.986000000000004	c'est papa qui fait ça d'habitude hein ?
45	LEONARD	1_08_09	MOT	46.986000000000004	48.66	et là c'est pas papa .
46	LEONARD	1_08_09	sit			CHI est à plat ventre dans le bain.
47	LEONARD	1_08_09	MOT	48.66	49.576	hum !
48	LEONARD	1_08_09	MOT	49.576	51.86600000000001	le bon bain !
49	LEONARD	1_08_09	sit			CHI pointe la caméra.
50	LEONARD	1_08_09	MOT	52.161	55.393	le bon bain !
51	LEONARD	1_08_09	CHI	55.393	57.071000000000005	a@fs coco .
52	LEONARD	1_08_09	mod			… kɔko
53	LEONARD	1_08_09	pho			a koko
54	LEONARD	1_08_09	int			coco/2/=caméra
55	LEONARD	1_08_09	CHI	57.071000000000005	58.755	e@fs coco .
56	LEONARD	1_08_09	mod			… kɔko
57	LEONARD	1_08_09	pho			e koko
58	LEONARD	1_08_09	int			coco/2/=caméra
59	LEONARD	1_08_09	CHI	58.755	60.821000000000005	oh coco .
60	LEONARD	1_08_09	mod			ɔ kɔko
61	LEONARD	1_08_09	pho			oː koko
62	LEONARD	1_08_09	int			coco/2/=caméra
63	LEONARD	1_08_09	MOT	60.821000000000005	63.051	où tu vois un coco toi ?
64	LEONARD	1_08_09	OBS	63.051	63.993	ce doit être mon œil .
65	LEONARD	1_08_09	tim			1:00
66	LEONARD	1_08_09	MOT	63.993	65.25399999999999	tu crois que c'est coucou toi ?
67	LEONARD	1_08_09	sit			CHI se lève et pointe vers la caméra.
68	LEONARD	1_08_09	MOT	65.25399999999999	68.02	c'est entre coucou et coco .
69	LEONARD	1_08_09	CHI	68.02	69.866	non coco .
70	LEONARD	1_08_09	mod			nɔ̃ kɔko
71	LEONARD	1_08_09	sit			il gémit.
72	LEONARD	1_08_09	pho			nɔ̃ koko
73	LEONARD	1_08_09	int			coco/2/=caméra
74	LEONARD	1_08_09	CHI	69.866	72.90100000000001	ø@fs bateau regarde yy .
75	LEONARD	1_08_09	mod			… bato ʀəgaʀd …
76	LEONARD	1_08_09	pho			ø gato øga gatoː
77	LEONARD	1_08_09	int			bateau/3/ regarde/3/
78	LEONARD	1_08_09	MOT	72.90100000000001	75.936	où ça le bateau ?
